sample	batch	variable	value
32151640_EXO_S32	180322-190603	readsPerc	74.96795142443226
32151675_EXO_S28	180322-190603	readsPerc	77.14971288843395
32151681_EXO_S21	180322-190603	readsPerc	80.48107599947592
32151161_EXO_S19	180322-190603	readsPerc	80.56620584841234
32151113_EXO_S24	180322-190603	readsPerc	58.65069876028568
32140243_EXO_S2	180322-190603	readsPerc	79.56269501757622
32150300_EXO_S4	180322-190603	readsPerc	79.09981854482686
32151662_EXO_S25	180322-190603	readsPerc	68.52375237171597
32150296_EXO_S34	180322-190603	readsPerc	73.81594404658883
32151649_EXO_S7	180322-190603	readsPerc	81.5818428576399
32151808_EXO_S16	180322-190603	readsPerc	82.34152401719346
32152166_EXO_S8	180322-190603	readsPerc	85.00249140183746
180322-190603_Brain_S36	180322-190603	readsPerc	86.63982030831139
32150759_EXO_S26	180322-190603	readsPerc	75.40328089231627
32151206_EXO_S12	180322-190603	readsPerc	81.47105530562953
32151872_EXO_S27	180322-190603	readsPerc	75.90519616907443
32152211_EXO_S35	180322-190603	readsPerc	78.7776029297911
32151109_EXO_S17	180322-190603	readsPerc	77.41375278498504
32152477_EXO_S29	180322-190603	readsPerc	81.34733797489802
32151201_EXO_S23	180322-190603	readsPerc	79.92027871812334
32141753_EXO_S10	180322-190603	readsPerc	82.65945823515973
32150101_EXO_S3	180322-190603	readsPerc	76.57813443962826
32151828_EXO_S15	180322-190603	readsPerc	83.8791196308769
32152118_EXO_S1	180322-190603	readsPerc	75.14822639141254
32151204_EXO_S9	180322-190603	readsPerc	82.34174090324143
32151684_EXO_S13	180322-190603	readsPerc	80.68862552228406
32150228_EXO_S18	180322-190603	readsPerc	84.7185677660793
32152206_EXO_S33	180322-190603	readsPerc	68.66579787647409
32151642_EXO_S5	180322-190603	readsPerc	88.89413319158483
32151157_EXO_S31	180322-190603	readsPerc	75.55660236573141
32151086_EXO_S6	180322-190603	readsPerc	80.96627381463138
32150688_EXO_S20	180322-190603	readsPerc	82.43585005059079
32151947_EXO_S11	180322-190603	readsPerc	81.94652991644602
32151680_EXO_S22	180322-190603	readsPerc	81.87960809875473
32150301_EXO_S14	180322-190603	readsPerc	85.00518436912708
32150744_EXO_S30	180322-190603	readsPerc	69.81986853228494
32160475_EXO_S26	180626-180628-190531	readsPerc	71.12350076439017
32161242_EXO_S7	180626-180628-190531	readsPerc	70.55823114302488
32160187_EXO_S9	180626-180628-190531	readsPerc	66.04014449268608
32160696_EXO_S3	180626-180628-190531	readsPerc	77.2354661249681
32151244_EXO_S30	180626-180628-190531	readsPerc	76.71596091502829
180626-180628-190531_Brain_S32	180626-180628-190531	readsPerc	83.22143758210923
32161406_EXO_S4	180626-180628-190531	readsPerc	78.32992089596297
32160790_EXO_S27	180626-180628-190531	readsPerc	67.6516342636436
32152197_EXO_S12	180626-180628-190531	readsPerc	63.487633088605456
32150184_EXO_S18	180626-180628-190531	readsPerc	72.05193890366574
32161462_EXO_S13	180626-180628-190531	readsPerc	63.161584207186884
32151184_EXO_S8	180626-180628-190531	readsPerc	72.59654090875168
32151974_EXO_S24	180626-180628-190531	readsPerc	84.66140851235816
32160074_EXO_S17	180626-180628-190531	readsPerc	68.08102804064933
32151031_EXO_S19	180626-180628-190531	readsPerc	65.91564995765233
32151484_EXO_S11	180626-180628-190531	readsPerc	67.97453238279691
32151694_EXO_S10	180626-180628-190531	readsPerc	67.1159662754276
32160668_EXO_S16	180626-180628-190531	readsPerc	70.62000558065485
32152356_EXO_S21	180626-180628-190531	readsPerc	60.73728547153428
32151971_EXO_S23	180626-180628-190531	readsPerc	69.41262870306028
32160196_EXO_S22	180626-180628-190531	readsPerc	79.48986601979075
32151750_EXO_S14	180626-180628-190531	readsPerc	67.97745272154164
32150887_EXO_S28	180626-180628-190531	readsPerc	77.50297126747734
32150225_EXO_S2	180626-180628-190531	readsPerc	74.61242477760287
32152444_EXO_S25	180626-180628-190531	readsPerc	66.01902565288438
32140237_EXO_S31	180626-180628-190531	readsPerc	68.004961804281
32150168_EXO_S6	180626-180628-190531	readsPerc	74.58361094783727
32152194_EXO_S15	180626-180628-190531	readsPerc	71.86090522447427
32151686_EXO_S20	180626-180628-190531	readsPerc	79.43253123557494
32161248_EXO_S29	180626-180628-190531	readsPerc	67.12267024534451
32161349_EXO_S5	180626-180628-190531	readsPerc	75.12140703334555
32150855_EXO_S1	180626-180628-190531	readsPerc	76.0279221194979
32152388_EXO_S22	180726-190530	readsPerc	69.67252015466943
32170641_EXO_S35	180726-190530	readsPerc	70.00518125005692
32160652_EXO_S28	180726-190530	readsPerc	71.48477370169633
32152480_EXO_S3	180726-190530	readsPerc	73.78613660570342
32170419_EXO_S34	180726-190530	readsPerc	71.60075476541523
32160008_EXO_S24	180726-190530	readsPerc	72.84151025880433
32151370_EXO_S14	180726-190530	readsPerc	77.88753718637733
32150690_EXO_S2	180726-190530	readsPerc	74.10364392954486
180726-190530_Brain_S36	180726-190530	readsPerc	81.13710183943655
32151510_EXO_S15	180726-190530	readsPerc	75.78815259841994
32160118_EXO_S26	180726-190530	readsPerc	75.86520900026916
32150162_EXO_S11	180726-190530	readsPerc	69.48774343527803
32151633_EXO_S16	180726-190530	readsPerc	72.30973950186062
32152263_EXO_S7	180726-190530	readsPerc	51.77917581040754
32152081_EXO_S18	180726-190530	readsPerc	72.47225830225675
32152276_EXO_S21	180726-190530	readsPerc	76.97847391717654
32160740_EXO_S29	180726-190530	readsPerc	74.62728702842534
32152259_EXO_S20	180726-190530	readsPerc	73.90533801203973
32160002_EXO_S23	180726-190530	readsPerc	69.7620067040292
32161448_EXO_S32	180726-190530	readsPerc	66.00007203485482
32152082_EXO_S19	180726-190530	readsPerc	73.22969828870941
32152019_EXO_S17	180726-190530	readsPerc	72.66646204153524
32161241_EXO_S31	180726-190530	readsPerc	72.33247619084212
32170071_EXO_S33	180726-190530	readsPerc	72.86245970707635
32141754_EXO_S5	180726-190530	readsPerc	78.69077538215129
32150091_EXO_S1	180726-190530	readsPerc	70.12925023691909
32160964_EXO_S30	180726-190530	readsPerc	68.22909096731759
32160619_EXO_S27	180726-190530	readsPerc	70.10086181352658
32151247_EXO_S13	180726-190530	readsPerc	66.6291954476658
32150880_EXO_S12	180726-190530	readsPerc	64.65661317626882
32151523_EXO_S6	180726-190530	readsPerc	67.4857545783279
32141765_EXO_S9	180726-190530	readsPerc	78.89166926702032
32150158_EXO_S10	180726-190530	readsPerc	71.86509583136682
32140235_EXO_S8	180726-190530	readsPerc	69.00472051390757
32160071_EXO_S25	180726-190530	readsPerc	73.20679827771285
32151648_EXO_S4	180726-190530	readsPerc	77.63833560829075
32152253_EXO_S33	180913-190529	readsPerc	29.397226266279954
180913-190529_Brain_S36	180913-190529	readsPerc	67.25762000610992
32151859_EXO_S28	180913-190529	readsPerc	26.933680748647582
32150292_EXO_S9	180913-190529	readsPerc	82.25317311676902
32152341_EXO_S35	180913-190529	readsPerc	25.70405780007154
32151226_EXO_S21	180913-190529	readsPerc	75.98037329021865
32150013_EXO_S3	180913-190529	readsPerc	31.113747513025046
32150698_EXO_S12	180913-190529	readsPerc	73.32559850275115
32151984_EXO_S30	180913-190529	readsPerc	43.204382109507335
32152084_EXO_S31	180913-190529	readsPerc	34.22204366989863
32150243_EXO_S8	180913-190529	readsPerc	26.409070465085065
32151180_EXO_S20	180913-190529	readsPerc	78.37620535557343
32141643_EXO_S1	180913-190529	readsPerc	30.55177207437773
32141786_EXO_S2	180913-190529	readsPerc	24.83695891425621
32150076_EXO_S4	180913-190529	readsPerc	23.947258302475166
32150849_EXO_S15	180913-190529	readsPerc	84.90620383522447
32151444_EXO_S22	180913-190529	readsPerc	41.35342789412811
32150163_EXO_S7	180913-190529	readsPerc	26.725179736265275
32151565_EXO_S23	180913-190529	readsPerc	23.657246735193652
32151026_EXO_S17	180913-190529	readsPerc	69.71312622736612
32150825_EXO_S13	180913-190529	readsPerc	73.27725048208082
32152273_EXO_S34	180913-190529	readsPerc	29.866112897883074
32151691_EXO_S25	180913-190529	readsPerc	27.709792232402584
32150844_EXO_S14	180913-190529	readsPerc	79.94604826219631
32150424_EXO_S10	180913-190529	readsPerc	79.58355247002653
32152094_EXO_S32	180913-190529	readsPerc	26.695459702453586
32151125_EXO_S18	180913-190529	readsPerc	78.20162289198424
32150080_EXO_S5	180913-190529	readsPerc	25.148906701646123
32151765_EXO_S27	180913-190529	readsPerc	23.116445418856056
32151881_EXO_S29	180913-190529	readsPerc	26.506083657561085
32150696_EXO_S11	180913-190529	readsPerc	80.18704968835493
32151725_EXO_S26	180913-190529	readsPerc	29.948974602300716
32150993_EXO_S16	180913-190529	readsPerc	78.49133533061189
32150147_EXO_S6	180913-190529	readsPerc	27.10086410301358
32151667_EXO_S24	180913-190529	readsPerc	27.98550877558208
32151152_EXO_S19	180913-190529	readsPerc	74.15085201761076
